Counter: 0 | X: 2.866795 | Y:0.026039 | Z: 0.001590
Counter: 51 | X: 0.045925 | Y:0.008116 | Z: 0.007162
Counter: 52 | X: 0.058408 | Y:0.007831 | Z: 0.006525
Counter: 53 | X: 0.035477 | Y:0.008336 | Z: 0.007087
Counter: 54 | X: 0.043211 | Y:0.007799 | Z: 0.007097
Counter: 55 | X: 0.027681 | Y:0.008160 | Z: 0.006495
Counter: 56 | X: 0.034168 | Y:0.007478 | Z: 0.007171
Counter: 57 | X: 0.035382 | Y:0.007830 | Z: 0.007305
Counter: 58 | X: 0.024819 | Y:0.007446 | Z: 0.006860
Counter: 59 | X: 0.024993 | Y:0.007346 | Z: 0.006803
Counter: 60 | X: 0.030417 | Y:0.007675 | Z: 0.007437
Counter: 61 | X: 0.042060 | Y:0.007530 | Z: 0.006775
Counter: 62 | X: 0.028437 | Y:0.007275 | Z: 0.007211
Counter: 63 | X: 0.024439 | Y:0.007171 | Z: 0.006910
Counter: 64 | X: 0.027265 | Y:0.007427 | Z: 0.007096
Counter: 65 | X: 0.038409 | Y:0.007693 | Z: 0.007164
Counter: 66 | X: 0.032854 | Y:0.007847 | Z: 0.006986
Counter: 67 | X: 0.025887 | Y:0.007366 | Z: 0.007141
Counter: 68 | X: 0.067272 | Y:0.007870 | Z: 0.006364
Counter: 69 | X: 0.039021 | Y:0.007536 | Z: 0.007274
Counter: 70 | X: 0.035097 | Y:0.007619 | Z: 0.007312
Counter: 71 | X: 0.023047 | Y:0.007489 | Z: 0.007127
Counter: 72 | X: 0.024698 | Y:0.007405 | Z: 0.006925
Counter: 73 | X: 0.031732 | Y:0.007762 | Z: 0.007154
Counter: 74 | X: 0.035916 | Y:0.007834 | Z: 0.007377
Counter: 75 | X: 0.027087 | Y:0.007739 | Z: 0.007120
Counter: 76 | X: 0.023095 | Y:0.007482 | Z: 0.007060
Counter: 77 | X: 0.025247 | Y:0.007495 | Z: 0.007183
Counter: 78 | X: 0.036612 | Y:0.007683 | Z: 0.007291
Counter: 79 | X: 0.040944 | Y:0.007800 | Z: 0.006664
Counter: 80 | X: 0.031255 | Y:0.007495 | Z: 0.007133
Counter: 81 | X: 0.069698 | Y:0.008167 | Z: 0.007156
Counter: 82 | X: 0.023501 | Y:0.007268 | Z: 0.007083
Counter: 83 | X: 0.025131 | Y:0.007280 | Z: 0.006760
Counter: 84 | X: 0.032061 | Y:0.007490 | Z: 0.007303
Counter: 85 | X: 0.038136 | Y:0.007686 | Z: 0.007199
Counter: 86 | X: 0.027512 | Y:0.007457 | Z: 0.007069
Counter: 87 | X: 0.024052 | Y:0.007263 | Z: 0.006947
Counter: 88 | X: 0.024706 | Y:0.007992 | Z: 0.007077
Counter: 89 | X: 0.036904 | Y:0.007876 | Z: 0.007119
Counter: 90 | X: 0.033939 | Y:0.007907 | Z: 0.007028
Counter: 91 | X: 0.023825 | Y:0.007495 | Z: 0.006689
Counter: 92 | X: 0.024481 | Y:0.007465 | Z: 0.006619
Counter: 93 | X: 0.035838 | Y:0.007831 | Z: 0.007095
Counter: 94 | X: 0.034976 | Y:0.007817 | Z: 0.006787
Counter: 95 | X: 0.024145 | Y:0.007656 | Z: 0.007069
Counter: 96 | X: 0.022949 | Y:0.007360 | Z: 0.006849
Counter: 97 | X: 0.069040 | Y:0.008165 | Z: 0.006701
Counter: 98 | X: 0.032920 | Y:0.007681 | Z: 0.006827
Counter: 99 | X: 0.035983 | Y:0.007723 | Z: 0.006579
Counter: 100 | X: 0.047731 | Y:0.007801 | Z: 0.007109
Counter: 101 | X: 0.045297 | Y:0.007699 | Z: 0.007204
Counter: 102 | X: 0.034775 | Y:0.007578 | Z: 0.007390
Counter: 103 | X: 0.062322 | Y:0.008134 | Z: 0.006890
Counter: 104 | X: 0.051886 | Y:0.007892 | Z: 0.006710
Counter: 105 | X: 0.041455 | Y:0.007562 | Z: 0.006689
Counter: 106 | X: 0.044807 | Y:0.007878 | Z: 0.007104
Counter: 107 | X: 0.030960 | Y:0.007621 | Z: 0.007459
Counter: 108 | X: 0.043655 | Y:0.007228 | Z: 0.007535
Counter: 109 | X: 0.026194 | Y:0.007088 | Z: 0.007105
Counter: 110 | X: 0.028414 | Y:0.007657 | Z: 0.007225
Counter: 111 | X: 0.042017 | Y:0.007457 | Z: 0.007063
Counter: 112 | X: 0.046155 | Y:0.007827 | Z: 0.006971
Counter: 113 | X: 0.022875 | Y:0.007518 | Z: 0.006866
Counter: 114 | X: 0.024035 | Y:0.007601 | Z: 0.006762
Counter: 115 | X: 0.028586 | Y:0.007827 | Z: 0.007020
Counter: 116 | X: 0.036132 | Y:0.008022 | Z: 0.007317
Counter: 117 | X: 0.029606 | Y:0.007722 | Z: 0.006932
Counter: 118 | X: 0.022748 | Y:0.007305 | Z: 0.007014
Counter: 119 | X: 0.024856 | Y:0.007297 | Z: 0.006911
Counter: 120 | X: 0.035119 | Y:0.007792 | Z: 0.007436
Counter: 121 | X: 0.034947 | Y:0.007891 | Z: 0.007017
Counter: 122 | X: 0.025916 | Y:0.007895 | Z: 0.006962
Counter: 123 | X: 0.022950 | Y:0.007575 | Z: 0.006575
Counter: 124 | X: 0.025013 | Y:0.007469 | Z: 0.007062
Counter: 125 | X: 0.034461 | Y:0.007400 | Z: 0.007052
Counter: 126 | X: 0.031811 | Y:0.007915 | Z: 0.006943
Counter: 127 | X: 0.023390 | Y:0.007265 | Z: 0.007061
Counter: 128 | X: 0.024220 | Y:0.007284 | Z: 0.006559
Counter: 129 | X: 0.028679 | Y:0.007723 | Z: 0.006670
Counter: 130 | X: 0.037609 | Y:0.007719 | Z: 0.006965
Counter: 131 | X: 0.062852 | Y:0.007695 | Z: 0.006868
Counter: 132 | X: 0.024823 | Y:0.007277 | Z: 0.006811
Counter: 133 | X: 0.035976 | Y:0.007850 | Z: 0.006791
Counter: 134 | X: 0.035679 | Y:0.008017 | Z: 0.007057
Counter: 135 | X: 0.032468 | Y:0.007915 | Z: 0.006856
Counter: 136 | X: 0.023216 | Y:0.007215 | Z: 0.006954
Counter: 137 | X: 0.023706 | Y:0.007581 | Z: 0.006866
Counter: 138 | X: 0.032658 | Y:0.007354 | Z: 0.007036
Counter: 139 | X: 0.035508 | Y:0.007913 | Z: 0.007301
Counter: 140 | X: 0.024019 | Y:0.007503 | Z: 0.007002
Counter: 141 | X: 0.022858 | Y:0.007467 | Z: 0.006934
Counter: 142 | X: 0.026235 | Y:0.007316 | Z: 0.007024
Counter: 143 | X: 0.035729 | Y:0.007772 | Z: 0.007315
Counter: 144 | X: 0.031587 | Y:0.007719 | Z: 0.007338
Counter: 145 | X: 0.024221 | Y:0.007395 | Z: 0.006962
Counter: 146 | X: 0.023675 | Y:0.007468 | Z: 0.007020
Counter: 147 | X: 0.028598 | Y:0.007892 | Z: 0.006621
Counter: 148 | X: 0.036300 | Y:0.007908 | Z: 0.007102
Counter: 149 | X: 0.026758 | Y:0.007594 | Z: 0.007228
Counter: 150 | X: 0.023146 | Y:0.007110 | Z: 0.006675
Counter: 151 | X: 0.023800 | Y:0.007337 | Z: 0.006921
Counter: 152 | X: 0.034350 | Y:0.007947 | Z: 0.007202
Counter: 153 | X: 0.034266 | Y:0.007611 | Z: 0.007158
Counter: 154 | X: 0.049404 | Y:0.007348 | Z: 0.007627
Counter: 155 | X: 0.037533 | Y:0.007273 | Z: 0.007415
Counter: 156 | X: 0.073116 | Y:0.007694 | Z: 0.006879
Counter: 157 | X: 0.026691 | Y:0.007290 | Z: 0.007060
Counter: 158 | X: 0.033412 | Y:0.007567 | Z: 0.007295
Counter: 159 | X: 0.038847 | Y:0.007463 | Z: 0.007221
Counter: 160 | X: 0.027401 | Y:0.007266 | Z: 0.007156
Counter: 161 | X: 0.023700 | Y:0.007314 | Z: 0.007172
Counter: 162 | X: 0.026552 | Y:0.007456 | Z: 0.007166
Counter: 163 | X: 0.039538 | Y:0.007621 | Z: 0.007265
Counter: 164 | X: 0.032203 | Y:0.007524 | Z: 0.007322
Counter: 165 | X: 0.024880 | Y:0.007182 | Z: 0.006942
Counter: 166 | X: 0.034397 | Y:0.007500 | Z: 0.007168
Counter: 167 | X: 0.034005 | Y:0.007761 | Z: 0.006925
Counter: 168 | X: 0.036581 | Y:0.007445 | Z: 0.007076
Counter: 169 | X: 0.024225 | Y:0.007704 | Z: 0.006827
Counter: 170 | X: 0.023251 | Y:0.007281 | Z: 0.006969
Counter: 171 | X: 0.027823 | Y:0.007179 | Z: 0.006931
Counter: 172 | X: 0.039306 | Y:0.007841 | Z: 0.007051
Counter: 173 | X: 0.030807 | Y:0.007465 | Z: 0.006815
Counter: 174 | X: 0.022868 | Y:0.007606 | Z: 0.007195
Counter: 175 | X: 0.024789 | Y:0.007613 | Z: 0.006836
Counter: 176 | X: 0.034758 | Y:0.007557 | Z: 0.007251
Counter: 177 | X: 0.035804 | Y:0.007718 | Z: 0.007304
Counter: 178 | X: 0.024810 | Y:0.007512 | Z: 0.007012
Counter: 179 | X: 0.033000 | Y:0.007330 | Z: 0.006675
Counter: 180 | X: 0.026192 | Y:0.007329 | Z: 0.007033
Counter: 181 | X: 0.037217 | Y:0.008065 | Z: 0.007135
Counter: 182 | X: 0.032200 | Y:0.007951 | Z: 0.006844
Counter: 183 | X: 0.023916 | Y:0.007450 | Z: 0.006832
Counter: 184 | X: 0.046148 | Y:0.007816 | Z: 0.007149
Counter: 185 | X: 0.043704 | Y:0.007893 | Z: 0.006564
Counter: 186 | X: 0.031194 | Y:0.007591 | Z: 0.006650
Counter: 187 | X: 0.041541 | Y:0.007747 | Z: 0.007391
Counter: 188 | X: 0.029638 | Y:0.007214 | Z: 0.006993
Counter: 189 | X: 0.023179 | Y:0.007124 | Z: 0.006763
Counter: 190 | X: 0.025354 | Y:0.007016 | Z: 0.007080
Counter: 191 | X: 0.038503 | Y:0.007297 | Z: 0.007137
Counter: 192 | X: 0.033789 | Y:0.008024 | Z: 0.006813
Counter: 193 | X: 0.022754 | Y:0.007396 | Z: 0.006508
Counter: 194 | X: 0.023445 | Y:0.007163 | Z: 0.006902
Counter: 195 | X: 0.031886 | Y:0.007825 | Z: 0.007135
Counter: 196 | X: 0.032672 | Y:0.008203 | Z: 0.006933
Counter: 197 | X: 0.022941 | Y:0.007639 | Z: 0.006812
Counter: 198 | X: 0.023119 | Y:0.007348 | Z: 0.006567
Counter: 199 | X: 0.027611 | Y:0.007944 | Z: 0.006837
Counter: 200 | X: 0.037280 | Y:0.007852 | Z: 0.007147
Counter: 201 | X: 0.028489 | Y:0.007565 | Z: 0.006758
Counter: 202 | X: 0.033021 | Y:0.008006 | Z: 0.006954
Counter: 203 | X: 0.043632 | Y:0.008308 | Z: 0.007060
Counter: 204 | X: 0.036844 | Y:0.007536 | Z: 0.007189
Counter: 205 | X: 0.026451 | Y:0.007732 | Z: 0.006974
Counter: 206 | X: 0.049238 | Y:0.008138 | Z: 0.007073
Counter: 207 | X: 0.036658 | Y:0.007676 | Z: 0.006713
Counter: 0 | X: 0.044471 | Y:0.008067 | Z: 0.006643
Counter: 1 | X: 0.044197 | Y:0.007752 | Z: 0.006938
Counter: 2 | X: 0.029340 | Y:0.007732 | Z: 0.006563
Counter: 3 | X: 0.049988 | Y:0.007803 | Z: 0.006960
Counter: 4 | X: 0.038430 | Y:0.008037 | Z: 0.006339
Counter: 5 | X: 0.044596 | Y:0.007783 | Z: 0.007047
Counter: 6 | X: 0.042002 | Y:0.007501 | Z: 0.007155
Counter: 7 | X: 0.023240 | Y:0.007296 | Z: 0.006755
Counter: 8 | X: 0.026558 | Y:0.007200 | Z: 0.007230
Counter: 9 | X: 0.041697 | Y:0.008038 | Z: 0.006962
Counter: 10 | X: 0.029932 | Y:0.007454 | Z: 0.007106
Counter: 11 | X: 0.023241 | Y:0.007529 | Z: 0.006742
Counter: 12 | X: 0.025277 | Y:0.007492 | Z: 0.006753
Counter: 13 | X: 0.036802 | Y:0.007662 | Z: 0.006977
Counter: 14 | X: 0.033292 | Y:0.007827 | Z: 0.006915
Counter: 15 | X: 0.022979 | Y:0.007349 | Z: 0.006743
Counter: 16 | X: 0.025148 | Y:0.007388 | Z: 0.006679
Counter: 17 | X: 0.036634 | Y:0.007423 | Z: 0.006878
Counter: 18 | X: 0.034208 | Y:0.007619 | Z: 0.006800
Counter: 19 | X: 0.023743 | Y:0.007284 | Z: 0.006802
Counter: 20 | X: 0.023250 | Y:0.007346 | Z: 0.007048
Counter: 21 | X: 0.032290 | Y:0.007627 | Z: 0.006905
Counter: 22 | X: 0.036756 | Y:0.007699 | Z: 0.007007
Counter: 23 | X: 0.027790 | Y:0.007691 | Z: 0.006960
Counter: 24 | X: 0.023334 | Y:0.007237 | Z: 0.006853
Counter: 25 | X: 0.026545 | Y:0.007370 | Z: 0.007125
Counter: 26 | X: 0.038529 | Y:0.007702 | Z: 0.007153
Counter: 27 | X: 0.032302 | Y:0.007325 | Z: 0.007065
Counter: 28 | X: 0.023529 | Y:0.007235 | Z: 0.006897
Counter: 29 | X: 0.026061 | Y:0.006963 | Z: 0.007240
Counter: 30 | X: 0.036161 | Y:0.007619 | Z: 0.007160
Counter: 31 | X: 0.035209 | Y:0.007770 | Z: 0.007045
Counter: 32 | X: 0.024042 | Y:0.007354 | Z: 0.006675
Counter: 33 | X: 0.022752 | Y:0.007388 | Z: 0.006644
Counter: 34 | X: 0.026643 | Y:0.007714 | Z: 0.006804
Counter: 35 | X: 0.036604 | Y:0.007735 | Z: 0.007165
Counter: 36 | X: 0.032063 | Y:0.007535 | Z: 0.006921
Counter: 37 | X: 0.030016 | Y:0.007503 | Z: 0.006561
Counter: 38 | X: 0.035093 | Y:0.007917 | Z: 0.007078
Counter: 39 | X: 0.038145 | Y:0.007354 | Z: 0.007111
Counter: 40 | X: 0.024683 | Y:0.007052 | Z: 0.006863
Counter: 41 | X: 0.029900 | Y:0.007799 | Z: 0.006996
Counter: 42 | X: 0.040991 | Y:0.007486 | Z: 0.006983
Counter: 43 | X: 0.026160 | Y:0.007184 | Z: 0.006917
Counter: 44 | X: 0.049774 | Y:0.007760 | Z: 0.006850
Counter: 45 | X: 0.040675 | Y:0.007648 | Z: 0.006835
Counter: 46 | X: 0.024311 | Y:0.007131 | Z: 0.006694
Counter: 47 | X: 0.031406 | Y:0.007151 | Z: 0.006981
Counter: 48 | X: 0.043647 | Y:0.007327 | Z: 0.006884
Counter: 49 | X: 0.049703 | Y:0.007364 | Z: 0.006659
Counter: 50 | X: 0.026259 | Y:0.007189 | Z: 0.006939
Counter: 51 | X: 0.038116 | Y:0.007565 | Z: 0.007317
Counter: 52 | X: 0.036708 | Y:0.007311 | Z: 0.007053
Counter: 53 | X: 0.024126 | Y:0.007144 | Z: 0.006939
Counter: 54 | X: 0.025311 | Y:0.007053 | Z: 0.007049
Counter: 55 | X: 0.034794 | Y:0.007737 | Z: 0.007364
Counter: 56 | X: 0.038282 | Y:0.007542 | Z: 0.007277
Counter: 57 | X: 0.024700 | Y:0.007593 | Z: 0.006872
Counter: 58 | X: 0.022343 | Y:0.007467 | Z: 0.006801
Counter: 59 | X: 0.026109 | Y:0.007628 | Z: 0.006644
Counter: 60 | X: 0.038432 | Y:0.007671 | Z: 0.007392
Counter: 61 | X: 0.030627 | Y:0.007501 | Z: 0.007028
Counter: 62 | X: 0.023439 | Y:0.007262 | Z: 0.006703
Counter: 63 | X: 0.024838 | Y:0.007535 | Z: 0.006850
Counter: 64 | X: 0.036494 | Y:0.007673 | Z: 0.007149
Counter: 65 | X: 0.034391 | Y:0.007607 | Z: 0.007085
Counter: 66 | X: 0.022998 | Y:0.007267 | Z: 0.006815
Counter: 67 | X: 0.024159 | Y:0.007314 | Z: 0.007117
Counter: 68 | X: 0.033826 | Y:0.007656 | Z: 0.007131
Counter: 69 | X: 0.036903 | Y:0.007551 | Z: 0.007203
Counter: 70 | X: 0.024192 | Y:0.007289 | Z: 0.007206
Counter: 71 | X: 0.022971 | Y:0.007359 | Z: 0.006780
Counter: 72 | X: 0.028126 | Y:0.007639 | Z: 0.007083
Counter: 73 | X: 0.038649 | Y:0.007598 | Z: 0.007060
Counter: 74 | X: 0.030713 | Y:0.007378 | Z: 0.007463
Counter: 75 | X: 0.034445 | Y:0.007442 | Z: 0.006692
Counter: 76 | X: 0.052944 | Y:0.008002 | Z: 0.006675
Counter: 77 | X: 0.037673 | Y:0.007242 | Z: 0.006556
Counter: 78 | X: 0.025122 | Y:0.007115 | Z: 0.006902
Counter: 79 | X: 0.037312 | Y:0.007419 | Z: 0.007150
Counter: 80 | X: 0.033910 | Y:0.007295 | Z: 0.007225
Counter: 81 | X: 0.023148 | Y:0.007666 | Z: 0.007042
Counter: 82 | X: 0.024118 | Y:0.007391 | Z: 0.006902
Counter: 83 | X: 0.031227 | Y:0.007471 | Z: 0.007203
Counter: 84 | X: 0.059052 | Y:0.008037 | Z: 0.007099
Counter: 85 | X: 0.039534 | Y:0.007590 | Z: 0.006748
Counter: 86 | X: 0.048376 | Y:0.007253 | Z: 0.006624
Counter: 87 | X: 0.028657 | Y:0.007568 | Z: 0.007319
Counter: 88 | X: 0.039801 | Y:0.007446 | Z: 0.007041
Counter: 89 | X: 0.027641 | Y:0.007027 | Z: 0.007377
Counter: 90 | X: 0.025132 | Y:0.007095 | Z: 0.007202
Counter: 91 | X: 0.038539 | Y:0.007545 | Z: 0.006858
Counter: 92 | X: 0.052749 | Y:0.007866 | Z: 0.006791
Counter: 93 | X: 0.035817 | Y:0.007405 | Z: 0.006718
Counter: 94 | X: 0.030129 | Y:0.007415 | Z: 0.007034
Counter: 95 | X: 0.042161 | Y:0.007839 | Z: 0.006862
Counter: 96 | X: 0.060388 | Y:0.007789 | Z: 0.006654
Counter: 97 | X: 0.074516 | Y:0.008737 | Z: 0.006747
Counter: 98 | X: 0.050866 | Y:0.007760 | Z: 0.006606
Counter: 99 | X: 0.045109 | Y:0.007511 | Z: 0.006854
Counter: 100 | X: 0.048957 | Y:0.008021 | Z: 0.006689
Counter: 101 | X: 0.031309 | Y:0.007370 | Z: 0.006679
Counter: 102 | X: 0.040358 | Y:0.007987 | Z: 0.007096
Counter: 103 | X: 0.039165 | Y:0.007270 | Z: 0.006718
Counter: 104 | X: 0.027215 | Y:0.007088 | Z: 0.006989
Counter: 105 | X: 0.035811 | Y:0.007333 | Z: 0.007089
Counter: 106 | X: 0.039940 | Y:0.007758 | Z: 0.007274
Counter: 107 | X: 0.024569 | Y:0.007435 | Z: 0.006583
Counter: 108 | X: 0.025073 | Y:0.007663 | Z: 0.006469
Counter: 109 | X: 0.037512 | Y:0.007635 | Z: 0.007290
Counter: 110 | X: 0.033329 | Y:0.007895 | Z: 0.006792
Counter: 111 | X: 0.023340 | Y:0.007532 | Z: 0.006637
Counter: 112 | X: 0.023813 | Y:0.007266 | Z: 0.006844
Counter: 113 | X: 0.032847 | Y:0.007489 | Z: 0.007068
Counter: 114 | X: 0.037587 | Y:0.007522 | Z: 0.006859
Counter: 115 | X: 0.025189 | Y:0.007130 | Z: 0.007047
Counter: 116 | X: 0.023069 | Y:0.007342 | Z: 0.007099
Counter: 117 | X: 0.025837 | Y:0.007039 | Z: 0.007149
Counter: 118 | X: 0.037790 | Y:0.007698 | Z: 0.007191
Counter: 119 | X: 0.032050 | Y:0.007532 | Z: 0.006966
Counter: 120 | X: 0.023802 | Y:0.007275 | Z: 0.007289
Counter: 121 | X: 0.026021 | Y:0.007109 | Z: 0.007216
Counter: 122 | X: 0.036475 | Y:0.007312 | Z: 0.006799
Counter: 123 | X: 0.046720 | Y:0.007833 | Z: 0.007185
Counter: 124 | X: 0.023788 | Y:0.007437 | Z: 0.006782
Counter: 125 | X: 0.023343 | Y:0.007472 | Z: 0.006686
Counter: 126 | X: 0.026526 | Y:0.007518 | Z: 0.006957
Counter: 127 | X: 0.037698 | Y:0.007546 | Z: 0.006711
Counter: 128 | X: 0.030100 | Y:0.007815 | Z: 0.007127
Counter: 129 | X: 0.022586 | Y:0.007169 | Z: 0.006602
Counter: 130 | X: 0.024899 | Y:0.007368 | Z: 0.006913
Counter: 131 | X: 0.035990 | Y:0.007789 | Z: 0.007060
Counter: 132 | X: 0.035171 | Y:0.007549 | Z: 0.007166
Counter: 133 | X: 0.023224 | Y:0.007672 | Z: 0.006608
Counter: 134 | X: 0.024463 | Y:0.007479 | Z: 0.006954
Counter: 135 | X: 0.048233 | Y:0.007597 | Z: 0.006869
Counter: 136 | X: 0.035028 | Y:0.007862 | Z: 0.006948
Counter: 137 | X: 0.023327 | Y:0.007335 | Z: 0.006739
Counter: 138 | X: 0.023145 | Y:0.007260 | Z: 0.006951
Counter: 139 | X: 0.027393 | Y:0.007481 | Z: 0.007026
Counter: 140 | X: 0.037952 | Y:0.007783 | Z: 0.007075
Counter: 141 | X: 0.030002 | Y:0.007286 | Z: 0.006817
Counter: 142 | X: 0.022681 | Y:0.007120 | Z: 0.006650
Counter: 143 | X: 0.024894 | Y:0.007228 | Z: 0.006970
Counter: 144 | X: 0.037069 | Y:0.007361 | Z: 0.007430
Counter: 145 | X: 0.034929 | Y:0.007689 | Z: 0.006977
Counter: 146 | X: 0.022274 | Y:0.007398 | Z: 0.006796
Counter: 147 | X: 0.024338 | Y:0.007267 | Z: 0.006979
Counter: 148 | X: 0.030093 | Y:0.007399 | Z: 0.006889
Counter: 149 | X: 0.037667 | Y:0.007672 | Z: 0.006712
Counter: 150 | X: 0.025139 | Y:0.007230 | Z: 0.006858
Counter: 151 | X: 0.022194 | Y:0.007015 | Z: 0.006810
Counter: 152 | X: 0.086262 | Y:0.008390 | Z: 0.006509
Counter: 153 | X: 0.039713 | Y:0.007560 | Z: 0.006719
Counter: 154 | X: 0.023262 | Y:0.007183 | Z: 0.006943
Counter: 155 | X: 0.023974 | Y:0.007376 | Z: 0.006749
Counter: 156 | X: 0.035998 | Y:0.007726 | Z: 0.007186
Counter: 157 | X: 0.034930 | Y:0.007723 | Z: 0.006886
Counter: 158 | X: 0.023812 | Y:0.007024 | Z: 0.007155
Counter: 159 | X: 0.023782 | Y:0.007292 | Z: 0.006981
Counter: 160 | X: 0.031746 | Y:0.007369 | Z: 0.006952
Counter: 161 | X: 0.039382 | Y:0.007560 | Z: 0.006859
Counter: 162 | X: 0.024278 | Y:0.007107 | Z: 0.006787
Counter: 163 | X: 0.022864 | Y:0.007086 | Z: 0.006853
Counter: 164 | X: 0.025311 | Y:0.007024 | Z: 0.007039
Counter: 165 | X: 0.038362 | Y:0.007657 | Z: 0.007087
Counter: 166 | X: 0.049620 | Y:0.007674 | Z: 0.006788
Counter: 167 | X: 0.023548 | Y:0.007304 | Z: 0.006970
Counter: 168 | X: 0.025496 | Y:0.007280 | Z: 0.007070
Counter: 169 | X: 0.034124 | Y:0.007590 | Z: 0.006858
Counter: 170 | X: 0.034116 | Y:0.007661 | Z: 0.006760
Counter: 171 | X: 0.022945 | Y:0.007615 | Z: 0.006776
Counter: 172 | X: 0.022663 | Y:0.007337 | Z: 0.006690
Counter: 173 | X: 0.027938 | Y:0.007362 | Z: 0.006878
Counter: 174 | X: 0.037311 | Y:0.007717 | Z: 0.006754
